rideid,pickuplocation,dropofflocation,distance,ridetype,fare,driverid,customerid,perkmrate,pickupdatetime
ride2639,Thane,Dadar,17.3,UberPool,333.41,driver193,cust2111,44.81,2024-03-22 06:36:51
ride2640,Kandivali,Dadar,18.7,OlaMicro,742.32,driver101,cust2067,23.73,2022-07-10 07:48:33
ride2641,Kurla,Malad,7.94,UberPool,1559.31,driver82,cust1379,46.21,2020-12-04 19:15:43
ride2642,Sion,Thane,5.63,UberX,1171.62,driver337,cust1243,20.47,2024-04-27 11:05:35
ride2643,Malad,Vashi,8.37,UberPool,79.04,driver302,cust2100,32.18,2020-02-24 01:46:31
ride2644,Kandivali,Juhu,17.81,OlaMicro,109.38,driver140,cust1046,21.52,2020-03-05 05:28:17
ride2645,Sion,Juhu,1.78,UberX,915.06,driver423,cust1480,23.87,2023-03-03 13:07:12
ride2646,Vashi,Vashi,12.43,UberX,768.12,driver341,cust2083,30.43,2023-07-25 15:10:10
ride2647,Versova,Dadar,10.65,OlaMicro,347.46,driver450,cust1351,22.0,2020-08-03 21:51:07
ride2648,Sion,Kurla,12.92,UberPool,775.6,driver185,cust1516,21.35,2023-04-27 01:32:45
ride2649,Thane,Kurla,3.4,UberX,1710.48,driver255,cust1977,33.85,2022-08-29 09:03:47
ride2650,Colaba,Versova,1.32,UberPool,1754.62,driver373,cust1165,31.9,2024-06-27 20:01:48
ride2651,Versova,Ghatkopar,11.81,UberPool,1797.96,driver109,cust1788,27.05,2023-02-04 23:23:01
ride2652,Juhu,Vashi,13.88,UberPool,1335.03,driver501,cust481,16.16,2024-06-03 03:38:22
ride2653,Juhu,Sion,12.14,UberX,1863.75,driver462,cust1766,27.87,2023-07-28 13:50:18
ride2654,South Mumbai,Vashi,8.14,UberX,1826.97,driver157,cust2011,15.9,2021-07-11 12:50:04
ride2655,Bandra,Vashi,8.55,UberX,1886.73,driver377,cust464,37.74,2020-12-09 07:37:24
ride2656,Kurla,Sion,6.25,OlaMicro,1647.29,driver58,cust1389,21.32,2020-02-03 04:51:51
ride2657,Bandra,Vashi,7.39,UberPool,738.72,driver345,cust1490,46.95,2022-05-15 07:14:59
ride2658,Ghatkopar,Thane,19.21,OlaMicro,468.64,driver382,cust1982,37.97,2021-01-24 19:41:32
ride2659,Colaba,Thane,8.88,OlaMicro,744.44,driver8,cust1236,49.54,2022-05-02 05:38:24
ride2660,Ghatkopar,Vashi,1.57,OlaMicro,149.09,driver206,cust326,28.95,2021-05-16 21:51:00
ride2661,Malad,Kurla,18.3,OlaMicro,676.07,driver163,cust383,35.03,2023-08-22 08:04:54
ride2662,Bandra,Ghatkopar,12.08,OlaMicro,798.25,driver48,cust994,44.81,2024-02-06 18:13:32
ride2663,Borivali,Sion,1.68,OlaMicro,1967.48,driver359,cust101,49.18,2022-10-26 11:48:20
ride2664,Vashi,Vashi,8.0,OlaMicro,433.96,driver81,cust381,14.32,2021-05-04 18:34:51
ride2665,Dadar,Ghatkopar,4.29,UberPool,144.55,driver195,cust973,38.3,2020-09-27 20:06:07
ride2666,Borivali,Colaba,5.62,UberX,1823.81,driver242,cust2226,32.42,2021-01-22 13:54:25
ride2667,Malad,South Mumbai,10.86,OlaMicro,1087.98,driver217,cust2164,21.89,2023-12-23 13:02:33
ride2668,Vashi,Vashi,10.87,UberPool,1557.2,driver443,cust1656,19.94,2022-06-24 13:48:01
ride2669,Vashi,Dadar,17.73,OlaMicro,65.41,driver239,cust1225,30.5,2021-10-03 17:14:35
ride2670,Dadar,Versova,4.53,UberPool,898.18,driver493,cust1140,15.96,2021-10-02 10:04:24
ride2671,Kandivali,Colaba,6.83,UberPool,953.05,driver199,cust682,40.47,2021-07-11 11:11:49
ride2672,Kurla,Borivali,8.72,OlaMicro,688.16,driver96,cust1944,27.75,2023-03-02 05:29:59
ride2673,Borivali,Dadar,6.18,UberPool,806.93,driver457,cust362,22.24,2020-05-18 01:42:39
ride2674,Borivali,Bandra,8.3,OlaMicro,1252.38,driver343,cust1022,13.67,2020-12-01 00:16:48
ride2675,Ghatkopar,Ghatkopar,7.28,UberPool,1324.51,driver201,cust1144,10.41,2021-01-17 22:35:18
ride2676,Vashi,Vashi,12.91,OlaMicro,1530.06,driver385,cust1099,40.63,2021-04-06 04:05:53
ride2677,Malad,Vashi,8.42,OlaMicro,174.56,driver125,cust2203,17.28,2022-07-30 02:11:07
ride2678,Vashi,Dadar,11.95,UberX,1346.73,driver140,cust1091,25.35,2020-10-27 14:18:04
ride2679,Sion,Colaba,3.61,UberX,962.04,driver236,cust1991,38.28,2024-03-02 20:13:31
ride2680,Ghatkopar,Malad,2.01,OlaMicro,175.43,driver424,cust2015,46.8,2022-04-12 13:12:33
ride2681,Bandra,Colaba,10.42,UberPool,1585.09,driver336,cust1578,37.46,2023-04-25 13:23:12
ride2682,Kurla,Malad,13.84,UberPool,1320.87,driver381,cust1886,30.1,2020-10-06 07:54:00
ride2683,Juhu,Juhu,2.03,UberX,1706.97,driver135,cust1621,35.49,2020-03-19 19:22:51
ride2684,Andheri,Malad,13.38,UberPool,1884.25,driver271,cust880,48.72,2020-02-14 11:44:44
ride2685,Colaba,Juhu,4.15,UberPool,259.37,driver445,cust1455,17.72,2023-04-08 11:52:18
ride2686,Dadar,Colaba,16.19,UberX,619.09,driver90,cust2090,27.25,2024-06-25 06:39:44
ride2687,South Mumbai,Kandivali,9.66,UberPool,317.71,driver256,cust1335,13.31,2021-01-26 21:47:15
ride2688,Thane,Juhu,11.86,OlaMicro,1890.91,driver23,cust1394,26.35,2020-01-25 10:51:32
ride2689,Juhu,Sion,5.47,OlaMicro,673.03,driver90,cust1078,49.56,2024-07-11 23:26:56
ride2690,Versova,Borivali,16.83,OlaMicro,1742.66,driver488,cust1734,26.43,2021-08-16 06:14:54
ride2691,Kurla,Malad,4.54,OlaMicro,1399.09,driver49,cust1144,15.15,2023-04-10 20:34:51
ride2692,Colaba,Ghatkopar,11.41,UberX,1844.18,driver518,cust318,39.47,2024-04-30 02:49:36
ride2693,Juhu,Dadar,1.82,UberX,1226.12,driver274,cust1432,28.37,2020-04-27 09:59:46
ride2694,Vashi,Ghatkopar,12.03,UberPool,1255.36,driver22,cust1368,43.89,2020-09-06 10:54:07
ride2695,Dadar,Juhu,1.36,OlaMicro,1259.85,driver98,cust464,42.07,2021-01-29 06:05:55
ride2696,Thane,Kandivali,7.01,UberX,137.26,driver7,cust1983,29.17,2021-05-02 02:37:17
ride2697,Colaba,Ghatkopar,3.35,UberX,71.14,driver157,cust574,14.35,2020-01-11 12:42:16
ride2698,Vashi,Sion,6.46,UberX,1655.06,driver113,cust1158,49.93,2020-02-19 11:22:18
ride2699,Dadar,Colaba,19.36,UberPool,529.37,driver130,cust1817,21.28,2021-03-29 04:18:59
ride2700,Ghatkopar,Ghatkopar,4.41,UberPool,826.38,driver45,cust719,18.87,2023-11-30 20:03:22
ride2701,Ghatkopar,Juhu,2.64,UberPool,1044.88,driver429,cust597,20.02,2024-05-12 08:50:55
ride2702,Dadar,Ghatkopar,7.3,UberPool,1883.34,driver56,cust992,26.21,2024-02-12 21:33:48
ride2703,Dadar,Kurla,15.2,OlaMicro,662.47,driver8,cust32,45.57,2022-01-09 01:04:03
ride2704,Kandivali,Kandivali,18.16,OlaMicro,1850.44,driver500,cust171,27.05,2021-02-23 00:52:29
ride2705,South Mumbai,Vashi,7.06,UberX,1944.37,driver86,cust2141,13.65,2023-03-11 21:44:02
ride2706,Versova,Borivali,9.62,UberX,1629.88,driver247,cust1495,41.98,2024-06-25 02:22:36
ride2707,Bandra,Vashi,11.91,OlaMicro,1842.13,driver18,cust1518,20.91,2021-12-21 17:19:01
ride2708,Versova,Juhu,14.95,UberX,1748.2,driver429,cust1356,28.92,2023-06-06 23:04:28
ride2709,Borivali,Andheri,18.03,UberX,333.3,driver111,cust2163,19.09,2023-07-21 05:59:42
ride2710,Ghatkopar,Malad,6.16,UberPool,853.92,driver343,cust1356,39.57,2024-08-21 05:20:50
ride2711,Colaba,Andheri,3.71,UberX,1719.58,driver67,cust1323,38.4,2020-01-19 18:52:56
ride2712,South Mumbai,Colaba,15.8,OlaMicro,481.65,driver292,cust1603,40.99,2023-06-26 08:55:18
ride2713,Ghatkopar,Bandra,5.26,UberX,62.7,driver494,cust1509,38.0,2023-01-29 08:00:03
ride2714,Kandivali,Colaba,9.84,UberX,1176.4,driver289,cust490,26.22,2024-04-10 09:36:18
ride2715,Sion,Kurla,5.43,UberX,1297.59,driver151,cust393,41.45,2023-11-05 19:37:18
ride2716,Versova,Andheri,16.74,UberPool,169.9,driver189,cust1397,38.15,2023-06-22 20:23:03
ride2717,Malad,Kandivali,11.48,UberX,1732.09,driver482,cust380,27.96,2024-01-05 06:21:22
ride2718,South Mumbai,Kurla,8.23,UberPool,1230.0,driver384,cust151,24.18,2021-07-23 13:29:23
ride2719,Versova,Bandra,10.38,OlaMicro,1559.75,driver245,cust126,40.54,2023-07-14 06:39:14
ride2720,Malad,Juhu,19.64,OlaMicro,758.01,driver86,cust1551,34.26,2022-08-27 17:15:21
ride2721,Malad,South Mumbai,5.7,UberPool,1198.27,driver385,cust1178,35.74,2023-12-11 12:41:59
ride2722,Versova,Kandivali,10.86,UberPool,1459.23,driver45,cust1580,24.02,2022-12-03 02:33:03
ride2723,Kandivali,Juhu,18.63,UberX,1959.28,driver343,cust830,47.26,2020-01-23 05:06:21
ride2724,Malad,Kurla,9.87,UberPool,1736.76,driver7,cust1069,25.68,2024-05-06 14:35:24
ride2725,Sion,Malad,9.91,UberPool,879.49,driver187,cust1844,14.43,2021-09-01 14:30:59
ride2726,Vashi,Dadar,8.8,OlaMicro,1332.41,driver67,cust497,32.44,2023-01-19 09:15:39
ride2727,Colaba,Borivali,15.05,UberX,900.21,driver4,cust279,33.58,2023-03-23 23:30:44
ride2728,South Mumbai,Malad,16.48,UberPool,145.47,driver202,cust557,29.98,2020-09-24 13:52:27
ride2729,Thane,Colaba,13.67,UberPool,1861.68,driver473,cust1905,42.93,2020-03-18 03:15:41
ride2730,South Mumbai,Andheri,15.91,OlaMicro,1197.91,driver138,cust1580,30.26,2022-11-15 21:38:11
ride2731,Juhu,Ghatkopar,3.0,OlaMicro,1329.27,driver411,cust1254,27.36,2023-05-30 15:29:58
ride2732,Malad,Juhu,9.54,OlaMicro,755.93,driver115,cust686,15.97,2023-02-18 05:24:45
ride2733,Sion,Kandivali,17.44,UberX,1943.32,driver378,cust1644,19.61,2021-01-07 03:29:30
ride2734,Versova,Thane,16.14,OlaMicro,1239.13,driver361,cust184,11.95,2021-12-15 19:21:28
ride2735,Kurla,Versova,3.01,UberPool,1764.6,driver427,cust1937,17.57,2024-08-12 20:23:53
ride2736,Versova,South Mumbai,11.47,UberPool,1467.53,driver269,cust2088,27.97,2020-04-04 07:48:43
ride2737,Borivali,Bandra,10.48,UberPool,1733.47,driver342,cust1258,18.65,2023-04-18 17:22:04
ride2738,Borivali,Borivali,8.08,OlaMicro,965.87,driver128,cust727,24.03,2020-04-07 06:43:09
ride2739,Borivali,Bandra,17.0,UberX,1409.21,driver261,cust1745,35.62,2023-11-05 14:44:50
ride2740,Vashi,Kurla,3.83,UberX,1175.79,driver431,cust775,18.43,2024-08-23 23:13:50
ride2741,Bandra,Malad,13.89,UberX,528.37,driver490,cust888,11.58,2020-06-04 12:53:47
ride2742,Thane,Vashi,11.08,OlaMicro,1461.21,driver489,cust1532,19.29,2020-03-28 06:05:31
ride2743,Dadar,Ghatkopar,17.02,OlaMicro,384.75,driver140,cust1134,41.02,2024-07-09 02:07:13
ride2744,Thane,South Mumbai,5.82,UberX,413.28,driver162,cust1652,33.64,2023-02-20 20:10:00
ride2745,Juhu,South Mumbai,6.52,UberPool,499.98,driver170,cust523,15.5,2022-06-17 10:17:46
ride2746,Malad,Kurla,2.57,OlaMicro,891.43,driver9,cust1001,32.71,2024-06-08 22:37:50
ride2747,Vashi,Kandivali,14.03,UberPool,778.37,driver57,cust1296,23.03,2021-10-29 23:52:08
ride2748,Kurla,Versova,14.16,UberPool,1572.9,driver81,cust1879,22.03,2023-03-04 10:48:06
ride2749,Malad,Andheri,18.38,UberX,638.53,driver327,cust846,23.99,2022-09-23 01:00:02
ride2750,Juhu,Kurla,2.31,UberPool,111.73,driver145,cust1882,16.32,2021-03-28 06:50:57
ride2751,Versova,Vashi,10.8,UberX,792.04,driver383,cust1847,35.75,2020-07-25 02:53:38
ride2752,Borivali,Andheri,4.54,UberX,438.96,driver103,cust1667,31.43,2022-11-23 17:45:35
ride2753,Vashi,Thane,19.55,OlaMicro,665.08,driver17,cust1638,32.91,2020-03-01 03:46:38
ride2754,Sion,Borivali,5.33,OlaMicro,1835.95,driver273,cust435,12.42,2023-04-08 09:31:04
ride2755,Dadar,Kandivali,1.3,UberPool,1570.07,driver486,cust1067,34.89,2023-08-08 09:09:32
ride2756,Borivali,Dadar,6.29,UberX,1845.6,driver2,cust438,44.03,2023-07-05 10:45:52
ride2757,Sion,Malad,10.59,OlaMicro,860.53,driver117,cust878,48.38,2023-12-24 00:04:31
ride2758,Juhu,Bandra,8.02,OlaMicro,648.04,driver515,cust318,14.03,2023-06-17 17:23:28
ride2759,Colaba,Kandivali,14.62,UberX,634.16,driver379,cust1621,12.13,2024-08-23 01:46:27
ride2760,Kandivali,Ghatkopar,17.54,UberPool,1691.05,driver166,cust1575,17.5,2024-03-24 17:42:49
ride2761,Andheri,Ghatkopar,18.26,UberX,56.33,driver183,cust506,43.22,2024-08-07 02:13:28
ride2762,Vashi,Ghatkopar,14.47,OlaMicro,1432.93,driver174,cust591,36.54,2023-04-09 11:58:31
ride2763,Kandivali,Kandivali,1.08,UberX,1513.96,driver253,cust1209,19.16,2021-10-25 19:09:31
ride2764,Colaba,Sion,8.28,OlaMicro,1855.54,driver266,cust1935,37.41,2024-05-02 03:58:19
ride2765,Vashi,Vashi,8.93,UberX,1856.36,driver79,cust211,27.66,2021-04-21 16:00:55
ride2766,Bandra,Juhu,3.06,UberX,195.39,driver88,cust727,10.02,2022-10-14 21:58:48
ride2767,Malad,South Mumbai,4.14,UberPool,709.01,driver69,cust1569,30.58,2022-10-18 02:38:11
ride2768,Malad,Kandivali,9.29,UberX,1081.12,driver344,cust1106,14.87,2022-11-28 00:23:53
ride2769,Ghatkopar,Ghatkopar,13.81,UberPool,1475.1,driver13,cust576,30.72,2020-04-21 01:33:44
ride2770,Ghatkopar,Versova,7.25,UberPool,1126.25,driver450,cust406,36.68,2021-11-11 06:56:27
ride2771,Borivali,Colaba,11.43,OlaMicro,691.93,driver312,cust731,16.81,2021-06-24 07:35:41
ride2772,South Mumbai,Malad,13.22,UberPool,362.06,driver277,cust2064,14.52,2022-09-25 13:15:50
ride2773,Vashi,South Mumbai,6.4,UberX,1640.36,driver371,cust1626,46.05,2022-02-04 20:43:35
ride2774,Andheri,Kandivali,12.03,UberX,853.77,driver158,cust24,46.23,2021-06-18 15:44:06
ride2775,Colaba,South Mumbai,16.6,UberPool,638.84,driver44,cust624,12.07,2023-11-14 01:57:48
ride2776,Ghatkopar,Borivali,14.33,OlaMicro,1051.31,driver401,cust1652,24.56,2021-09-11 02:02:43
ride2777,Versova,Thane,11.33,UberX,953.53,driver128,cust1013,36.48,2021-04-11 16:19:51
ride2778,Juhu,Borivali,17.85,UberX,1830.62,driver320,cust1119,37.75,2020-03-02 11:16:47
ride2779,Juhu,Bandra,19.93,UberX,1452.68,driver27,cust390,13.93,2024-01-09 10:57:35
ride2780,Sion,Dadar,10.83,UberX,249.56,driver413,cust2186,40.7,2022-08-11 00:04:06
ride2781,Thane,Andheri,6.51,OlaMicro,1947.05,driver129,cust605,45.26,2023-01-12 19:41:17
ride2782,Ghatkopar,Kurla,8.5,UberX,1277.98,driver162,cust42,49.8,2023-01-30 07:32:51
ride2783,Kandivali,Vashi,5.69,UberPool,359.91,driver435,cust1807,41.99,2021-07-24 00:03:14
ride2784,Colaba,Andheri,10.01,UberX,1257.21,driver203,cust2193,29.74,2024-08-18 21:28:53
ride2785,Sion,Kurla,14.46,UberPool,151.03,driver512,cust1994,44.53,2023-03-06 01:38:54
ride2786,Malad,Juhu,1.75,UberX,1597.31,driver54,cust84,19.64,2020-06-05 20:57:04
ride2787,Sion,Vashi,14.28,UberPool,1716.22,driver20,cust2020,48.66,2024-09-26 22:09:59
ride2788,Kurla,Vashi,6.39,UberX,722.1,driver188,cust1771,23.85,2020-10-27 23:15:36
ride2789,Vashi,Malad,9.3,OlaMicro,1205.59,driver213,cust729,29.42,2020-11-18 20:18:18
ride2790,Vashi,Versova,15.3,OlaMicro,506.17,driver327,cust759,18.78,2022-07-16 00:17:34
ride2791,Dadar,Vashi,16.29,OlaMicro,1174.29,driver391,cust786,48.81,2020-07-16 16:07:23
ride2792,Kurla,Thane,15.76,OlaMicro,881.63,driver22,cust1959,45.39,2024-07-26 06:51:51
ride2793,Malad,Sion,6.21,UberX,736.95,driver468,cust947,13.16,2022-07-12 06:43:04
ride2794,South Mumbai,Kandivali,12.0,UberX,1464.66,driver192,cust332,36.03,2021-03-20 15:39:32
ride2795,Versova,Kurla,5.74,OlaMicro,161.21,driver8,cust1923,49.34,2021-08-02 12:55:39
ride2796,Juhu,Colaba,10.42,OlaMicro,1139.25,driver305,cust1158,36.34,2024-02-02 11:03:55
ride2797,Juhu,Kurla,4.76,UberPool,1033.91,driver425,cust514,40.75,2023-03-24 22:12:30
ride2798,Colaba,Vashi,11.39,UberPool,1828.31,driver368,cust299,34.44,2020-07-25 03:51:09
ride2799,Versova,Juhu,11.5,UberPool,1509.09,driver167,cust1519,33.31,2023-11-23 03:47:56
ride2800,Kandivali,Kandivali,2.92,UberX,1430.56,driver336,cust276,24.04,2022-03-31 23:27:14
ride2801,Bandra,Malad,12.05,OlaMicro,741.06,driver102,cust107,33.87,2023-05-23 15:41:14
ride2802,South Mumbai,Malad,6.86,UberX,1955.79,driver440,cust940,26.08,2021-09-26 15:50:52
ride2803,Colaba,Kandivali,14.95,UberPool,1481.25,driver258,cust266,29.65,2024-04-13 03:59:24
ride2804,Sion,Dadar,17.78,UberX,512.65,driver138,cust1720,44.65,2023-04-09 16:55:28
ride2805,Vashi,Vashi,17.02,UberPool,1743.33,driver41,cust814,45.34,2021-03-02 14:51:55
ride2806,Kandivali,Thane,5.11,UberX,322.86,driver83,cust1808,12.53,2022-11-02 00:53:18
ride2807,Kandivali,Andheri,7.71,OlaMicro,914.08,driver328,cust570,48.17,2021-02-01 10:30:21
ride2808,Dadar,Kurla,2.34,OlaMicro,668.49,driver434,cust1001,40.3,2023-07-18 11:24:47
ride2809,Bandra,South Mumbai,17.93,UberX,646.34,driver211,cust978,49.62,2023-12-12 03:20:10
ride2810,Thane,Thane,18.06,UberPool,365.85,driver247,cust221,42.66,2022-02-05 12:56:54
ride2811,Borivali,Sion,15.85,UberPool,1363.0,driver27,cust110,19.4,2021-07-12 05:25:16
ride2812,Colaba,Bandra,10.68,OlaMicro,864.09,driver382,cust380,37.1,2020-07-31 03:11:47
ride2813,Thane,Dadar,3.45,UberPool,197.82,driver259,cust98,31.76,2020-02-20 07:35:04
ride2814,Thane,Andheri,1.87,UberPool,172.23,driver482,cust2183,27.82,2024-03-25 22:50:50
ride2815,South Mumbai,Andheri,4.49,OlaMicro,1232.84,driver490,cust45,18.38,2020-01-20 18:06:10
ride2816,Andheri,Bandra,19.29,OlaMicro,657.21,driver508,cust1048,18.52,2020-04-04 18:47:47
ride2817,Dadar,South Mumbai,6.83,UberX,852.15,driver68,cust185,42.19,2022-04-16 23:48:32
ride2818,Colaba,South Mumbai,17.03,UberX,1276.56,driver114,cust817,14.88,2023-01-01 17:09:10
ride2819,Versova,Kurla,7.96,OlaMicro,641.75,driver49,cust1935,40.39,2024-07-06 04:18:52
ride2820,Dadar,Malad,14.01,UberX,1213.75,driver366,cust1734,40.2,2024-01-13 14:58:35
ride2821,South Mumbai,Kurla,3.48,UberPool,1600.08,driver79,cust2142,42.03,2023-07-28 19:44:12
ride2822,Sion,Kandivali,14.59,UberPool,1007.66,driver488,cust1794,46.71,2023-05-24 21:13:37
ride2823,Kurla,Kurla,5.14,OlaMicro,199.09,driver219,cust2200,13.36,2024-01-05 14:06:27
ride2824,Malad,Malad,12.68,UberX,131.35,driver519,cust1952,18.99,2021-02-21 07:49:13
ride2825,Borivali,Andheri,7.86,UberPool,716.09,driver514,cust1679,47.18,2024-10-09 23:45:52
ride2826,Vashi,Kurla,13.26,OlaMicro,485.53,driver117,cust2206,32.22,2020-07-15 03:31:06
ride2827,Borivali,Malad,10.47,UberPool,1568.78,driver42,cust1016,35.06,2020-06-20 04:20:56
ride2828,Kurla,Vashi,7.61,UberPool,1044.5,driver198,cust435,40.69,2024-09-25 19:23:39
ride2829,Ghatkopar,Versova,5.53,UberX,114.29,driver286,cust1253,34.04,2021-11-10 23:31:28
ride2830,Kurla,South Mumbai,12.09,OlaMicro,1148.9,driver258,cust128,47.73,2021-12-20 11:25:00
ride2831,Kandivali,Ghatkopar,10.81,UberPool,66.44,driver56,cust1918,48.54,2022-12-28 18:07:11
ride2832,Bandra,Kurla,15.59,OlaMicro,1330.62,driver191,cust226,37.47,2020-03-07 19:10:16
ride2833,Malad,Juhu,7.82,OlaMicro,706.32,driver225,cust1310,20.68,2024-07-21 07:11:58
ride2834,Sion,Thane,9.55,OlaMicro,1207.29,driver424,cust1868,28.72,2021-08-18 21:47:17
ride2835,Sion,Versova,13.24,UberX,1951.16,driver109,cust129,39.61,2024-04-26 23:44:56
ride2836,Malad,Malad,15.81,UberX,1854.86,driver23,cust1272,29.78,2022-05-24 11:14:14
ride2837,Vashi,Dadar,19.76,UberPool,834.94,driver455,cust1504,36.75,2024-01-22 22:54:01
ride2838,Andheri,South Mumbai,17.96,UberX,1907.5,driver319,cust1752,26.35,2022-10-24 14:12:10
ride2839,Andheri,Andheri,10.91,UberX,1921.86,driver130,cust1198,22.02,2020-09-10 15:13:50
ride2840,Andheri,Borivali,2.13,OlaMicro,858.13,driver85,cust471,42.21,2024-03-12 01:18:41
ride2841,Kurla,Vashi,10.54,UberX,500.31,driver161,cust1337,28.53,2023-06-02 06:42:32
ride2842,Malad,Andheri,14.17,UberX,1582.37,driver30,cust1899,19.77,2023-12-10 18:23:52
ride2843,Malad,Ghatkopar,16.96,OlaMicro,1154.27,driver495,cust1051,34.03,2021-07-19 03:07:28
ride2844,Malad,Vashi,15.34,UberX,558.53,driver234,cust2103,49.3,2020-09-23 21:45:45
ride2845,Borivali,Sion,9.4,OlaMicro,1025.41,driver147,cust1070,26.16,2024-05-21 12:14:41
ride2846,Colaba,Andheri,6.39,OlaMicro,286.36,driver197,cust243,13.73,2020-06-17 13:02:04
ride2847,Andheri,Bandra,15.59,UberX,532.55,driver271,cust1464,37.57,2023-05-29 01:42:01
ride2848,Vashi,South Mumbai,2.84,UberX,954.25,driver83,cust1945,12.27,2021-06-18 19:29:40
ride2849,Sion,Vashi,6.15,UberPool,578.08,driver159,cust1451,45.53,2022-09-15 13:36:10
ride2850,Kandivali,Vashi,6.62,OlaMicro,694.68,driver390,cust566,22.61,2022-06-11 20:49:23
ride2851,South Mumbai,Kandivali,4.9,UberPool,552.78,driver69,cust466,33.67,2022-11-19 16:05:03
ride2852,Colaba,Ghatkopar,13.16,UberX,1003.16,driver254,cust1647,35.98,2023-08-11 09:19:22
ride2853,Colaba,Juhu,2.0,UberX,394.25,driver317,cust1085,16.56,2020-12-14 22:39:12
ride2854,Kurla,Malad,15.9,UberX,1509.11,driver375,cust820,32.42,2022-10-27 10:49:20
ride2855,Ghatkopar,South Mumbai,7.0,UberX,1673.41,driver112,cust1281,36.72,2022-07-14 15:50:02
ride2856,Dadar,Ghatkopar,6.13,OlaMicro,216.28,driver282,cust1350,22.58,2023-07-16 13:25:16
ride2857,Sion,Juhu,15.5,OlaMicro,1943.89,driver412,cust2171,15.09,2022-04-03 15:04:33
ride2858,South Mumbai,Andheri,2.14,OlaMicro,1182.03,driver319,cust129,17.32,2023-08-06 08:43:52
ride2859,Juhu,Thane,3.54,UberPool,1206.67,driver357,cust2094,12.24,2020-11-29 00:07:40
ride2860,Versova,Sion,19.03,OlaMicro,699.86,driver176,cust2081,30.71,2022-09-24 04:19:32
ride2861,Vashi,Kurla,1.53,UberPool,138.86,driver510,cust2083,13.52,2020-06-24 15:40:04
ride2862,Juhu,Andheri,16.36,UberPool,1828.53,driver367,cust741,21.22,2020-04-16 10:06:19
ride2863,Kurla,Andheri,10.35,UberPool,1568.28,driver281,cust1600,20.58,2024-09-14 23:58:04
ride2864,Ghatkopar,Andheri,1.64,UberX,145.18,driver9,cust1584,32.73,2023-11-16 10:55:56
ride2865,Thane,Ghatkopar,8.41,UberX,1922.55,driver469,cust1492,42.25,2021-11-07 21:48:26
ride2866,Borivali,Bandra,10.44,OlaMicro,735.69,driver298,cust1556,10.83,2020-04-10 05:07:42
ride2867,Colaba,Sion,3.65,UberPool,97.5,driver161,cust1477,20.13,2022-08-15 10:19:52
ride2868,Borivali,Ghatkopar,14.89,UberX,230.53,driver445,cust248,32.94,2020-09-03 09:13:54
ride2869,Malad,Versova,3.69,UberPool,964.03,driver451,cust588,25.89,2023-05-14 00:22:16
ride2870,Sion,Vashi,7.85,UberX,1427.99,driver304,cust825,14.98,2024-03-03 03:51:15
ride2871,Bandra,Dadar,15.7,UberPool,164.5,driver237,cust1218,19.86,2020-12-19 20:16:42
ride2872,Dadar,Kurla,19.01,OlaMicro,1167.75,driver160,cust995,27.1,2021-09-01 19:39:53
ride2873,Andheri,Borivali,12.24,UberPool,1465.52,driver345,cust1255,34.18,2023-09-14 11:56:28
ride2874,Juhu,Kandivali,14.51,UberPool,1479.44,driver119,cust710,27.95,2022-10-29 22:15:45
ride2875,Kurla,Versova,14.79,UberPool,1378.06,driver148,cust1800,39.17,2023-12-09 01:41:04
ride2876,Dadar,Sion,3.52,OlaMicro,595.73,driver25,cust662,18.53,2022-07-05 16:09:13
ride2877,Malad,Sion,8.49,UberX,977.8,driver105,cust1891,26.35,2024-07-30 14:15:49
ride2878,Vashi,Malad,14.5,UberPool,1958.06,driver285,cust1596,23.45,2023-05-03 06:57:04
ride2879,Dadar,Thane,2.89,UberPool,501.24,driver82,cust503,48.59,2022-05-07 13:21:42
ride2880,Dadar,Versova,1.12,UberX,1087.2,driver166,cust156,29.07,2024-03-19 20:18:31
ride2881,Juhu,Borivali,13.9,UberPool,380.93,driver139,cust1812,41.19,2020-06-15 10:41:38
ride2882,Vashi,Andheri,10.32,UberX,452.24,driver216,cust1304,37.97,2023-07-04 11:27:49
ride2883,Bandra,Kandivali,18.3,OlaMicro,1989.82,driver468,cust793,39.26,2020-07-02 22:36:18
ride2884,Thane,Bandra,14.59,OlaMicro,865.55,driver192,cust327,42.99,2022-02-14 10:24:13
ride2885,Colaba,Dadar,3.27,UberPool,52.76,driver452,cust677,12.71,2020-11-29 21:14:41
ride2886,Malad,Andheri,17.99,OlaMicro,1067.75,driver392,cust1407,18.66,2023-11-30 09:31:56
ride2887,Sion,Juhu,2.3,UberPool,534.82,driver27,cust1459,17.26,2020-10-11 00:45:30
ride2888,Kurla,Bandra,2.24,UberX,1347.27,driver371,cust212,29.05,2023-10-09 19:46:49
ride2889,Kurla,Kurla,16.98,UberX,255.63,driver134,cust1952,49.56,2022-11-09 06:02:30
ride2890,Versova,Andheri,18.89,OlaMicro,712.78,driver164,cust1860,36.79,2022-02-14 12:16:36
ride2891,Kandivali,Sion,12.52,OlaMicro,102.26,driver153,cust1688,31.76,2024-03-11 15:53:37
ride2892,Colaba,Kurla,1.0,UberX,387.0,driver490,cust350,44.86,2024-01-18 23:53:41
ride2893,Kandivali,Vashi,10.93,UberPool,726.98,driver252,cust1325,32.81,2024-07-14 06:58:06
